CNPJ_Fundo,Data_Referencia,Versao,Nome_Ativo,Principais_Caracteristicas,Valor
00.613.094/0001-74,2018-06-30,1,Villaggio Panamby,"As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do ""habite-se"" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.",979329.07
00.613.094/0001-74,2018-09-30,1,Villaggio Panamby,"As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do ""habite-se"" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.",979329.07
00.613.094/0001-74,2018-12-31,1,Villaggio Panamby,"As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do ""habite-se"" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.",568134.51
03.855.441/0001-63,2018-03-31,1,Dique Seco,Arrend Mercantil Financeiro,129289825.21
03.855.441/0001-63,2018-03-31,1,Vitória,Arrend Mercantil Financeiro,794761732.11
03.855.441/0001-63,2018-03-31,1,Santos,Arrend Mercantil Financeiro,610582795.8
03.855.441/0001-63,2018-06-30,1,Vitória,Arrend Mercantil Financeiro,776562698.27
03.855.441/0001-63,2018-06-30,1,Santos,Arrend Mercantil Financeiro,626782044.95
03.855.441/0001-63,2018-09-30,1,Vitória,Arrend Mercantil Financeiro,763957785.19
03.855.441/0001-63,2018-09-30,1,Santos,Arrend Mercantil Financeiro,648309366.19
03.855.441/0001-63,2018-12-31,1,Vitória,Arrend Mercantil Financeiro,682642488.42
03.855.441/0001-63,2018-12-31,1,Santos,Arrend Mercantil Financeiro,568669917.68
07.583.627/0001-61,2018-03-31,1,Não Aplicavel,Não Aplicavel,0.0
07.583.627/0001-61,2018-06-30,1,Não Aplicavel,Não Aplicavel,0.0
07.583.627/0001-61,2018-09-30,1,Não Aplicavel,Não Aplicavel,0.0
07.583.627/0001-61,2018-12-31,1,Não Aplicavel,Não Aplicavel,0.0
13.568.181/0001-07,2018-03-31,1,Estanteria Pouso Alegre,benfeitorias em imóvel de terceiros,4011321.28
13.568.181/0001-07,2018-06-30,1,Estanteria Pouso Alegre,benfeitorias em imóvel de terceiros,4011321.28
13.568.181/0001-07,2018-09-28,1,Estanteria Pouso Alegre,benfeitorias em imóvel de terceiros,4011321.28
13.568.181/0001-07,2018-12-31,1,Estanteria Pouso Alegre,benfeitorias em imóvel de terceiros,4011321.28
13.584.584/0001-31,2018-03-29,2,Cemitério Morumby,131 Jazigos,1703000.0
13.584.584/0001-31,2018-03-29,2,Cemitério Terra Santa,900 Jazigos,4500000.0
13.584.584/0001-31,2018-03-29,2,Cemitério Terra Santa,2000 Jazigos,10000000.0
13.584.584/0001-31,2018-03-29,2,Cemitério Parque da Allamandas,2300 Jazigos,13800000.0
13.584.584/0001-31,2018-06-29,2,Cemitério Morumby,131 Jazigos,1703000.0
13.584.584/0001-31,2018-06-29,2,Cemitério Terra Santa,900 Jazigos,4500000.0
13.584.584/0001-31,2018-06-29,2,Cemitério Terra Santa,2000 Jazigos,10000000.0
13.584.584/0001-31,2018-09-28,1,Cemitério Morumby,131 Jazigos,1703000.0
13.584.584/0001-31,2018-09-28,1,Cemitério Terra Santa,900 Jazigos,4500000.0
13.584.584/0001-31,2018-09-28,1,Cemitério Terra Santa,2000 Jazigos,10000000.0
13.584.584/0001-31,2018-12-31,1,Cemitério Morumby,131 Jazigos,1703000.0
13.584.584/0001-31,2018-12-31,1,Cemitério Terra Santa,943 Jazigos,14616500.0
13.584.584/0001-31,2018-12-31,1,Cemitério Terra Santa,2000 Jazigos,10000000.0
14.423.780/0001-97,2018-03-29,1,Dir. Real Sol-Fran,"Direito aquisitivo sobre 19 unidades residenciais, hipotecadas para garantia do financiamento da SPE desenvolvedora do projeto.",1168285.36
14.423.780/0001-97,2018-03-29,1,Dir. Real Tiner Comp,"Direito aquisitivo sobre 57 unidades residenciais, hipotecadas para garantia do financiamento da SPE incorporadora",13683379.58
14.423.780/0001-97,2018-06-29,1,Dir. Real Sol-Fran,"Direito aquisitivo sobre 19 unidades residenciais, hipotecadas para garantia do financiamento da SPE desenvolvedora do projeto.",1168285.36
14.423.780/0001-97,2018-06-29,1,Dir. Real Tiner Comp,"Direito aquisitivo sobre 57 unidades residenciais, hipotecadas para garantia do financiamento da SPE incorporadora",12663673.27
14.423.780/0001-97,2018-09-28,1,Dir. Real Sol-Fran,"Direito aquisitivo sobre 19 unidades residenciais, hipotecadas para garantia do financiamento da SPE desenvolvedora do projeto.",727080.12
14.423.780/0001-97,2018-09-28,1,Dir. Real Tiner Comp,"Direito aquisitivo sobre 57 unidades residenciais, hipotecadas para garantia do financiamento da SPE incorporadora",11249403.48
14.423.780/0001-97,2018-12-31,1,Dir. Real Sol-Fran,"Direito aquisitivo sobre 19 unidades residenciais, hipotecadas para garantia do financiamento da SPE desenvolvedora do projeto.",621821.85
14.423.780/0001-97,2018-12-31,1,Dir. Real Tiner Comp,"Direito aquisitivo sobre 57 unidades residenciais, hipotecadas para garantia do financiamento da SPE incorporadora",10684192.16
14.786.587/0001-10,2018-03-31,1,Direito de superficie,"Direito de superfície sobre o terreno objeto da matrícula nº 41.269 com área de 3.546,82m² que possui (i) um prédio de 4 andares (ii) um prédio de apoio (iii) um prédio destinado ao hospital (iv) um edifício garagem (v) uma área de circulação. Atualmente a propietária desenvolve atividades hospitalares no imóvel e está aprovando na prefeitura o projeto para a realização de algumas obras, dentre elas a demolição do prédio antigo, a construção de um novo prédio e a reforma do hospital pela superficiária. As partes também acordaram que a superficiária realizará os investimentos necessários para a realização das obras e locará o imóvel em carater atípico para a propietária. O direito de superfície teve início em 03/03/2015 e vigorará pelo prazo de 10 anos.",8023063.63
14.786.587/0001-10,2018-06-30,1,Direito de superficie,"Direito de superfície sobre o terreno objeto da matrícula nº 41.269 com área de 3.546,82m² que possui (i) um prédio de 4 andares (ii) um prédio de apoio (iii) um prédio destinado ao hospital (iv) um edifício garagem (v) uma área de circulação. Atualmente a propietária desenvolve atividades hospitalares no imóvel e está aprovando na prefeitura o projeto para a realização de algumas obras, dentre elas a demolição do prédio antigo, a construção de um novo prédio e a reforma do hospital pela superficiária. As partes também acordaram que a superficiária realizará os investimentos necessários para a realização das obras e locará o imóvel em carater atípico para a propietária. O direito de superfície teve início em 03/03/2015 e vigorará pelo prazo de 10 anos.",51086984.54
14.786.587/0001-10,2018-09-30,1,Direito de superficie,"Direito de superfície sobre o terreno objeto da matrícula nº 41.269 com área de 3.546,82m² que possui (i) um prédio de 4 andares (ii) um prédio de apoio (iii) um prédio destinado ao hospital (iv) um edifício garagem (v) uma área de circulação. Atualmente a propietária desenvolve atividades hospitalares no imóvel e está aprovando na prefeitura o projeto para a realização de algumas obras, dentre elas a demolição do prédio antigo, a construção de um novo prédio e a reforma do hospital pela superficiária. As partes também acordaram que a superficiária realizará os investimentos necessários para a realização das obras e locará o imóvel em carater atípico para a propietária. O direito de superfície teve início em 03/03/2015 e vigorará pelo prazo de 10 anos.",51086984.54
14.786.587/0001-10,2018-12-31,1,Direito de superficie,"Direito de superfície sobre o terreno objeto da matrícula nº 41.269 com área de 3.546,82m² que possui (i) um prédio de 4 andares (ii) um prédio de apoio (iii) um prédio destinado ao hospital (iv) um edifício garagem (v) uma área de circulação. Atualmente a propietária desenvolve atividades hospitalares no imóvel e está aprovando na prefeitura o projeto para a realização de algumas obras, dentre elas a demolição do prédio antigo, a construção de um novo prédio e a reforma do hospital pela superficiária. As partes também acordaram que a superficiária realizará os investimentos necessários para a realização das obras e locará o imóvel em carater atípico para a propietária. O direito de superfície teve início em 03/03/2015 e vigorará pelo prazo de 10 anos.",51086984.54
15.489.509/0001-17,2018-12-31,1,não há,não há,
16.543.270/0001-89,2018-03-30,1,Paulinea do Brasil,,13704107.7
16.543.270/0001-89,2018-03-30,1,Ralin Participações LTDA,"Composta pelas empresas Recanto do Sossego, Mirante da Serra e Vale da Palmeiras",76720843.06
16.543.270/0001-89,2018-03-30,1,SPE Santo André,23km ao norte de Porto Seguro,11708475.94
16.543.270/0001-89,2018-03-30,1,Season Empreendimentos,"Subdistrito de Amaralina, Salvador, Bahia.",1868358.01
16.543.270/0001-89,2018-03-30,1,Terras Empreendimentos,Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MG),20049973.0
16.543.270/0001-89,2018-03-30,1,Vereda dos Lagos,Loteamento de 420 lotes de 500m distribuidos em um area bruta total de 354.701m,34917000.0
16.543.270/0001-89,2018-03-30,1,Superavit Participações,Residencial Jequitiba,69264805.0
16.543.270/0001-89,2018-03-30,1,Comarca de Caeté,Imóvel rural constituido por uma gleba de 40 hectares e 30 hares de terras no municipio de Minas,22000000.0
16.543.270/0001-89,2018-06-29,1,Paulinea do Brasil,,14524177.0
16.543.270/0001-89,2018-06-29,1,Ralin Participações LTDA,"Composta pelas empresas Recanto do Sossego, Mirante da Serra e Vale da Palmeiras",76720844.06
16.543.270/0001-89,2018-06-29,1,SPE Santo André,23km ao norte de Porto Seguro,12408384.32
16.543.270/0001-89,2018-06-29,1,Season Empreendimentos,"Subdistrito de Amaralina, Salvador, Bahia.",1868358.01
16.543.270/0001-89,2018-06-29,1,Terras Empreendimentos,Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MG),21024910.36
16.543.270/0001-89,2018-06-29,1,Vereda dos Lagos,Loteamento de 420 lotes de 500m distribuidos em um area bruta total de 354.701m,35851130.0
16.543.270/0001-89,2018-06-29,1,Superavit Participações,Residencial Jequitiba,69264805.0
16.543.270/0001-89,2018-06-29,1,Comarca de Caeté,Imóvel rural constituido por uma gleba de 40 hectares e 30 hares de terras no municipio de Minas,26045033.74
16.543.270/0001-89,2018-09-30,1,Paulinea do Brasil,,14524177.0
16.543.270/0001-89,2018-09-30,1,Ralin Participações LTDA,"Composta pelas empresas Recanto do Sossego, Mirante da Serra e Vale da Palmeiras",76720843.06
16.543.270/0001-89,2018-09-30,1,SPE Santo André,23km ao norte de Porto Seguro,12408384.32
16.543.270/0001-89,2018-09-30,1,Season Empreendimentos,"Subdistrito de Amaralina, Salvador, Bahia.",1868358.01
16.543.270/0001-89,2018-09-30,1,Terras Empreendimentos,Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MG),21024910.36
16.543.270/0001-89,2018-09-30,1,Vereda dos Lagos,Loteamento de 420 lotes de 500m distribuidos em um area bruta total de 354.701m,35851130.0
16.543.270/0001-89,2018-09-30,1,Superavit Participações,Residencial Jequitiba,69264805.0
16.543.270/0001-89,2018-09-30,1,Comarca de Caeté,Imóvel rural constituido por uma gleba de 40 hectares e 30 hares de terras no municipio de Minas,26045033.74
16.543.270/0001-89,2018-12-31,1,Paulinea do Brasil,,14524177.0
16.543.270/0001-89,2018-12-31,1,Ralin Participações LTDA,"Composta pelas empresas Recanto do Sossego, Mirante da Serra e Vale da Palmeiras",76720843.06
16.543.270/0001-89,2018-12-31,1,SPE Santo André,23km ao norte de Porto Seguro,12408384.32
16.543.270/0001-89,2018-12-31,1,Season Empreendimentos,"Subdistrito de Amaralina, Salvador, Bahia.",1868358.01
16.543.270/0001-89,2018-12-31,1,Terras Empreendimentos,Obras finalizadas o mercado regional ainda incipiente possui grande potencial ( Bonito MG),21024910.36
16.543.270/0001-89,2018-12-31,1,Vereda dos Lagos,Loteamento de 420 lotes de 500m distribuidos em um area bruta total de 354.701m,35851130.0
16.543.270/0001-89,2018-12-31,1,Superavit Participações,Residencial Jequitiba,69264805.0
16.543.270/0001-89,2018-12-31,1,Comarca de Caeté,Imóvel rural constituido por uma gleba de 40 hectares e 30 hares de terras no municipio de Minas,26045033.74
17.198.404/0001-34,2018-12-31,1,"Rua Paulo Assis, 190","Apartamento residencial na Barra da Tijuca, RJ",1002955.58
17.590.518/0001-25,2018-03-31,2,0,0,0.0
17.590.518/0001-25,2018-06-30,1,0,0,0.0
17.590.518/0001-25,2018-09-30,2,0,0,0.0
17.590.518/0001-25,2018-12-31,2,0,0,0.0
21.500.514/0001-86,2018-03-31,1,Usufruto,"obtenção de renda decorrente da Fração Ideal do Usufruto (matrículas 59.298, 50.906, 50.907, 50.908, 50.909, 50.910, 50.911 e 50.912, 50.941 e 50.844, todas do Oficial de Registro de Imóveis de Suzano - Estado de São Paulo), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada",33377367.91
21.500.514/0001-86,2018-03-31,1,Usufruto,"obtenção de renda decorrente da Fração Ideal do Usufruto (matrícula 105.367 do 2º Oficial de Registro de Imóveis, Títulos e Documentos e Civil de Pessoa Jurídica da Comarca de Guarulhos-SP), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada",24753158.44
21.500.514/0001-86,2018-03-31,1,Usufruto,"obtenção de renda decorrente da Fração Ideal do Usufruto  (matrícula 85.516 do 1º Registro de Imóveis de Guarulhos), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada",21279353.2
21.500.514/0001-86,2018-06-30,1,Usufruto,"obtenção de renda decorrente da Fração Ideal do Usufruto (matrículas 59.298, 50.906, 50.907, 50.908, 50.909, 50.910, 50.911 e 50.912, 50.941 e 50.844, todas do Oficial de Registro de Imóveis de Suzano - Estado de São Paulo), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada",22034750.0
21.500.514/0001-86,2018-06-30,1,Usufruto,"obtenção de renda decorrente da Fração Ideal do Usufruto (matrícula 105.367 do 2º Oficial de Registro de Imóveis, Títulos e Documentos e Civil de Pessoa Jurídica da Comarca de Guarulhos-SP), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada",26616585.0
21.500.514/0001-86,2018-06-30,1,Usufruto,"obtenção de renda decorrente da Fração Ideal do Usufruto  (matrícula 85.516 do 1º Registro de Imóveis de Guarulhos), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada",13675587.0
21.500.514/0001-86,2018-09-30,1,Usufruto,"obtenção de renda decorrente da Fração Ideal do Usufruto (matrículas 59.298, 50.906, 50.907, 50.908, 50.909, 50.910, 50.911 e 50.912, 50.941 e 50.844, todas do Oficial de Registro de Imóveis de Suzano - Estado de São Paulo), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada",22034750.0
21.500.514/0001-86,2018-09-30,1,Usufruto,"obtenção de renda decorrente da Fração Ideal do Usufruto (matrícula 105.367 do 2º Oficial de Registro de Imóveis, Títulos e Documentos e Civil de Pessoa Jurídica da Comarca de Guarulhos-SP), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada",26616585.0
21.500.514/0001-86,2018-09-30,1,Usufruto,"obtenção de renda decorrente da Fração Ideal do Usufruto  (matrícula 85.516 do 1º Registro de Imóveis de Guarulhos), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada",13675587.0
21.500.514/0001-86,2018-12-31,1,Usufruto,"obtenção de renda decorrente da Fração Ideal do Usufruto (matrículas 59.298, 50.906, 50.907, 50.908, 50.909, 50.910, 50.911 e 50.912, 50.941 e 50.844, todas do Oficial de Registro de Imóveis de Suzano - Estado de São Paulo), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada",22034750.0
21.500.514/0001-86,2018-12-31,1,Usufruto,"obtenção de renda decorrente da Fração Ideal do Usufruto (matrícula 105.367 do 2º Oficial de Registro de Imóveis, Títulos e Documentos e Civil de Pessoa Jurídica da Comarca de Guarulhos-SP), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada",20833908.35
21.500.514/0001-86,2018-12-31,1,Usufruto,"obtenção de renda decorrente da Fração Ideal do Usufruto  (matrícula 85.516 do 1º Registro de Imóveis de Guarulhos), por meio da exploração, pelo período de 10 anos, observadas as hipóteses de rescisão antecipada",13675587.0
23.781.211/0001-04,2018-03-31,1,Hospital e Maternicade Brasil,Direito de Usufruto pelo prazo de 264 meses,190099974.91
23.781.211/0001-04,2018-03-31,1,Hospital Caxias,Direito de Usufruto pelo prazo de 264 meses,138985237.04
23.781.211/0001-04,2018-03-31,1,Hospital Helena,Direito de Usufruto pelo prazo de 300 meses,240064280.74
23.781.211/0001-04,2018-03-31,1,Hospital Santa Luzia,Direito de Usufruto pelo prazo de 274 meses,134160932.14
23.781.211/0001-04,2018-03-31,1,Hospital do Coração,Direito de Usufruto pelo prazo de 274 meses,59618009.16
23.781.211/0001-04,2018-06-30,1,Hospital e Maternidade Brasil,Direito de Usufruto pelo prazo de 264 meses,187713782.77
23.781.211/0001-04,2018-06-30,1,Hospital Caxias,Direito de Usufruto pelo prazo de 264 meses,137247921.59
23.781.211/0001-04,2018-06-30,1,Hospital Helena,Direito de Usufruto pelo prazo de 300 meses,237517329.76
23.781.211/0001-04,2018-06-30,1,Hospital Santa Luzia,Direito de Usufruto pelo prazo de 274 meses,132600921.31
23.781.211/0001-04,2018-06-30,1,Hospital do Coração,Direito de Usufruto pelo prazo de 274 meses,58924776.48
23.781.211/0001-04,2018-09-30,1,Hospital e Maternidade Brasil,Direito de Usufruto pelo prazo de 264 meses,185327590.63
23.781.211/0001-04,2018-09-30,1,Hospital Caxias,Direito de Usufruto pelo prazo de 264 meses,135510606.14
23.781.211/0001-04,2018-09-30,1,Hospital Helena,Direito de Usufruto pelo prazo de 300 meses,234970378.78
23.781.211/0001-04,2018-09-30,1,Hospital Santa Luzia,Direito de Usufruto pelo prazo de 274 meses,131040910.48
23.781.211/0001-04,2018-09-30,1,Hospital do Coração,Direito de Usufruto pelo prazo de 274 meses,58231543.8
23.781.211/0001-04,2018-09-30,1,São Luiz Morumbi,Direito de Usufruto pelo prazo de 300 meses,232281822.99
23.781.211/0001-04,2018-12-31,2,Hospital e Maternidade Brasil,Direito de Usufruto pelo prazo de 264 meses,182941398.49
23.781.211/0001-04,2018-12-31,2,Hospital Caxias,Direito de Usufruto pelo prazo de 264 meses,133773290.69
23.781.211/0001-04,2018-12-31,2,Hospital Helena,Direito de Usufruto pelo prazo de 300 meses,232423427.8
23.781.211/0001-04,2018-12-31,2,Hospital Santa Luzia,Direito de Usufruto pelo prazo de 274 meses,129480899.65
23.781.211/0001-04,2018-12-31,2,Hospital do Coração,Direito de Usufruto pelo prazo de 274 meses,57538311.12
23.781.211/0001-04,2018-12-31,2,São Luiz Morumbi,Direito de Usufruto pelo prazo de 300 meses,233080323.51
24.070.076/0001-51,2018-06-29,1,DIREITO REAL PAULISTANIA,,11596053.36
24.070.076/0001-51,2018-06-29,1,DIREITO REAL PENAFOR,,12235134.0
24.070.076/0001-51,2018-09-28,1,DIREITO DE PARTICIPAÇÃO VGV - PAULISTANIA,Participação através de permuta financeira,21481981.01
24.070.076/0001-51,2018-09-28,1,DIREITO DE PARTICIPAÇÃO VGV - PENAFOR,Participação através de permuta financeira,12235134.0
24.070.076/0001-51,2018-09-28,1,DIREITO DE PARTICIPAÇÃO VGV - ANTONIO GIL,Participação através de permuta financeira,15194796.0
24.070.076/0001-51,2018-12-31,1,DIREITO DE PARTICIPAÇÃO VGV - PAULISTANIA,Participação através de permuta financeira,21481981.01
24.070.076/0001-51,2018-12-31,1,DIREITO DE PARTICIPAÇÃO VGV - PENAFOR,Participação através de permuta financeira,18514444.59
24.070.076/0001-51,2018-12-31,1,DIREITO DE PARTICIPAÇÃO VGV - ANTONIO GIL,Participação através de permuta financeira,15194796.0
24.070.076/0001-51,2018-12-31,1,DIREITO DE PARTICIPAÇÃO VGV - MAJOR FREIRE,Participação através de permuta financeira,17585697.73
26.269.251/0001-60,2018-09-28,2,PIGM3,Frigorifico Guaiba,106180023.32
26.269.251/0001-60,2018-12-31,1,PIGMC3,,147311269.0
27.293.689/0001-46,2018-03-31,1,My Joy,Quotas da Nicolau de Souza Queiroz Empreendimento SPE Ltda.que dá ao fundo o direito dos futuros recebíveis da alienação do imóvel de acordo com o contrato firmado entre o fundo e o a RCB - Incorporação e Participações Ltda.,1700000.0
27.293.689/0001-46,2018-03-31,1,Árbore,"Quotas da Benedito de Almeida Empreendimentos Imobiliários SPE Ltda que dá ao fundo o direito dos recebíveis mensais, de acordo com a tabela estabelecida no contrato, que a SPE recebe.",1600000.0
27.293.689/0001-46,2018-06-29,1,My Joy,Quotas da Nicolau de Souza Queiroz Empreendimento SPE Ltda.que dá ao fundo o direito dos futuros recebíveis da alienação do imóvel de acordo com o contrato firmado entre o fundo e o a RCB - Incorporação e Participações Ltda.,4160000.0
27.293.689/0001-46,2018-06-29,1,Árbore,"Quotas da Benedito de Almeida Empreendimentos Imobiliários SPE Ltda que dá ao fundo o direito dos recebíveis mensais, de acordo com a tabela estabelecida no contrato, que a SPE recebe.",1600000.0
27.293.689/0001-46,2018-09-28,1,My Joy,Quotas da Nicolau de Souza Queiroz Empreendimento SPE Ltda.que dá ao fundo o direito dos futuros recebíveis da alienação do imóvel de acordo com o contrato firmado entre o fundo e o a RCB - Incorporação e Participações Ltda.,4160000.0
27.293.689/0001-46,2018-09-28,1,Árbore,"Quotas da Benedito de Almeida Empreendimentos Imobiliários SPE Ltda que dá ao fundo o direito dos recebíveis mensais, de acordo com a tabela estabelecida no contrato, que a SPE recebe.",1600000.0
27.538.335/0001-14,2018-03-31,1,SCP STAN,"A empresa contem 139 imóveis prontos em estoque para vendas e uma participação  Porporcional de  3,97% da SPE.",1000000.0
27.538.335/0001-14,2018-06-29,1,SCP STAN,"A empresa contem 139 imóveis prontos em estoque para vendas e uma participação  Porporcional de  3,97% da SPE.",1000000.0
27.771.586/0001-44,2018-09-28,1,Green 2000 Empreendimentos Imob. S.A.,"753.621 ações (99%) da S.A. que tem como objeto social a compra, venda e incorporação de bens imóveis",753621.0
27.771.586/0001-44,2018-09-28,1,PDG BH Incorporações S.A,20% das ações da S.A. que tem como objeto social o desenvolvimento de empreendimentos imobiliários residenciais em Belo Horizonte,151848.85
27.771.586/0001-44,2018-09-28,1,PDG Nova Lima Incorporações S.A,20% das ações da S.A. que tem como objeto social o desenvolvimento de empreendimentos imobiliários residenciais em Nova LIma,51000.0
27.771.586/0001-44,2018-09-28,1,Rio II Park Empreendimentos Imobiliários S.A.,"753.621 ações (99%) da S.A. que tem como objeto social a compra, venda e incorporação de bens imóveis",753621.0
27.771.586/0001-44,2018-12-28,1,Green 2000 Empreendimentos Imob. S.A.,"753.621 ações (99%) da S.A. que tem como objeto social a compra, venda e incorporação de bens imóveis",1127661.28
27.771.586/0001-44,2018-12-28,1,PDG BH Incorporações S.A,20% das ações da S.A. que tem como objeto social o desenvolvimento de empreendimentos imobiliários residenciais em Belo Horizonte,23855.27
27.771.586/0001-44,2018-12-28,1,PDG Nova Lima Incorporações S.A,20% das ações da S.A. que tem como objeto social o desenvolvimento de empreendimentos imobiliários residenciais em Nova LIma,248034.47
27.771.586/0001-44,2018-12-28,1,Rio II Park Empreendimentos Imobiliários S.A.,"753.621 ações (99%) da S.A. que tem como objeto social a compra, venda e incorporação de bens imóveis",801.76
27.771.586/0001-44,2018-12-28,1,HESA 55 Empreendimentos Imobiliários Ltda.,"3.032.000 quotas (20%) da sociedade limitada que tem como objeto social a compra, venda e incorporação de bens imóveis",816060.41
27.771.586/0001-44,2018-12-28,1,HESA 107 Empreendimentos Imobiliários Ltda.,"246.450 quotas (3%) da sociedade limitada que tem como objeto social a compra, venda e incorporação de bens imóveis",888647.47
27.771.586/0001-44,2018-12-28,1,HESA 98 Empreendimentos Imobiliários Ltda.,"450.000 quotas (25%) da sociedade limitada que tem como objeto social a compra, venda e incorporação de bens imóveis",8552811.73
28.152.272/0001-26,2018-03-31,2,Não aplicável,Não aplicável,0.0
28.152.272/0001-26,2018-06-30,1,,,0.0
28.516.650/0001-03,2018-03-31,1,Não aplicável,Não aplicável,0.0
28.516.650/0001-03,2018-06-30,1,,,0.0
28.516.650/0001-03,2018-09-30,1,,,0.0
28.516.650/0001-03,2018-12-31,1,,,0.0
28.693.595/0001-27,2018-03-31,1,Não aplicável,Não aplicável,0.0
28.693.595/0001-27,2018-06-30,1,,,0.0
28.693.595/0001-27,2018-09-30,1,,,0.0
28.693.595/0001-27,2018-12-31,1,,,0.0
28.737.771/0001-85,2018-03-31,3,Não Aplicável,,
28.737.771/0001-85,2018-09-28,1,Não Aplicável,,
00.613.094/0001-74,2019-03-31,1,Villaggio Panamby,"As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do ""habite-se"" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.",568134.51
00.613.094/0001-74,2019-06-30,1,Villaggio Panamby,"As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do ""habite-se"" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.",594065.96
00.613.094/0001-74,2019-09-30,1,Villaggio Panamby,"As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do ""habite-se"" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.",594065.96
00.613.094/0001-74,2019-12-31,1,Villaggio Panamby,"As contas a receber pela venda de lotes, conforme Escritura de Promessa de Compra e Venda Sob Condições Suspensivas, firmada em 29 e 30 de setembro de 1995, são atualizadas pela variação do IGP-M e, a partir da assinatura das Escrituras de Confissão de Dívida, atualizadas pela variação do IGP-M, acrescidas de juros anuais de 12%. Quando do ""habite-se"" do empreendimento, a dívida confessada é novada e substituída pelo direito de participação na receita de venda das unidades construídas. Os percentuais de participação na receita de venda são definidos nas Escrituras de Confissão de Dívida.",610711.84
03.855.441/0001-63,2019-03-31,1,Vitória,Arrend Mercantil Financeiro,682642488.42
03.855.441/0001-63,2019-03-31,1,Santos,Arrend Mercantil Financeiro,568669917.68
03.855.441/0001-63,2019-06-30,1,Vitória,Arrend Mercantil Financeiro,703714711.35
03.855.441/0001-63,2019-06-30,1,Santos,Arrend Mercantil Financeiro,604524498.74
03.855.441/0001-63,2019-09-30,1,Vitória,Arrend Mercantil Financeiro,686139271.08
