CNPJ_Fundo,Data_Referencia,Versao,Data_Entrega,Nome_Fundo,Data_Funcionamento,Publico_Alvo,Codigo_ISIN,Quantidade_Cotas_Emitidas,Fundo_Exclusivo,Cotistas_Vinculo_Familiar,Mandato,Segmento_Atuacao,Tipo_Gestao,Prazo_Duracao,Data_Prazo_Duracao,Encerramento_Exercicio_Social,Mercado_Negociacao_Bolsa,Mercado_Negociacao_MBO,Mercado_Negociacao_MB,Entidade_Administradora_BVMF,Entidade_Administradora_CETIP,Nome_Administrador,CNPJ_Administrador,Logradouro,Numero,Complemento,Bairro,Cidade,Estado,CEP,Telefone1,Telefone2,Telefone3,Site,Email
23.120.098/0001-16,2017-12-01,1,2018-03-29,FUNDO DE INVESTIMENTO IMOBILIÁRIO LECREC,2015-12-17,INVESTIDORES EM GERAL,,2190609.0286,S,S,Renda,Outros,Passiva,Indeterminado,,31/12,N,S,N,N,S,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,23120098000116,Avenida das Nações Unidas,14171,torre A - 11º andar,Vila Gertrudes,São Paulo,SP,04794-000,(11) 5171-5359,,,www.vam.com.br,vwmprodutosestruturados@votorantimwm.com.br
23.177.717/0001-09,2017-12-01,1,2018-03-29,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM MASTER,2016-01-14,INVESTIDOR PROFISSIONAL,BRVMMTCTF004,0.0,S,S,Títulos e Valores Mobiliários,Títulos e Val. Mob.,Ativa,Determinado,2026-07-06,31/12,N,S,N,N,S,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,23177717000109,Avenida das Nações Unidas,14171,torre A - 11º andar,Vila Gertrudes,São Paulo,SP,04794-000,(11) 5171-5359,,,www.vam.com.br,vwmprodutosestruturados@votorantimwm.com.br
23.179.381/0001-13,2017-12-01,1,2018-03-27,NIHAL - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2016-04-08,INVESTIDOR PROFISSIONAL,,88300.0,S,N,Renda,Lajes Corporativas,Ativa,Indeterminado,,31/12,N,N,S,N,N,OLIVEIRA TRUST DTVM S.A.,23179381000113,Av. das Américas,3434,Bloco 07 Sala 201,Barra da Tijuca,Rio de Janeiro,RJ,22640100,(21) 3514-000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br
23.381.427/0001-82,2017-12-01,1,2018-03-23,ALB FUNDO DE INVESTIMENTO IMOBILIÁRIO,2016-01-05,INVESTIDOR PROFISSIONAL,,80.005446,N,S,Renda,Outros,Ativa,Indeterminado,,30/12,N,N,S,N,N,BRL TRUST DTVM S.A.,23381427000182,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTABILIDADEDEFUNDOS@BRLTRUST.COM.BR
23.426.470/0001-17,2017-12-01,1,2018-03-23,GOODMAN PATRIMONIAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO,2016-02-03,INVESTIDOR PROFISSIONAL,,2033501.0,N,S,Renda,Outros,Ativa,Indeterminado,,30/12,N,N,S,N,N,BRL TRUST DTVM S.A.,23426470000117,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTABILIDADEDEFUNDOS@BRLTRUST.COM.BR
23.532.837/0001-87,2017-12-01,1,2018-03-28,FUNDO DE INVESTIMENTO IMOBILIARIO JK E - FII,2015-12-01,INVESTIDOR PROFISSIONAL,,137707233.71,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,23532837000187,RUA LAURO MULLER,116,SL 2101 A 2108,BOTAFOGO,RIO DE JANEIRO,RJ,22290-160,(21) 37257708,,,WWW.BRKBDTVM.COM.BR,JOLIVEIRA@BROOKFIELDBR.COM
23.533.796/0001-43,2017-12-01,1,2018-03-28,FUNDO DE INVESTIMENTO IMOBILIARIO JK D - FII,2015-12-01,INVESTIDOR PROFISSIONAL,,64451924.81,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,23533796000143,RUA LAURO MULLER,116,SL 2101 A 2108,BOTAFOGO,RIO DE JANEIRO,RJ,22290-160,(21) 37257708,,,WWW.BRKBDTVM.COM.BR,JOLIVEIRA@BROOKFIELDBR.COM
23.537.203/0001-17,2017-12-01,1,2018-03-28,FUNDO DE INVESTIMENTO IMOBILIARIO MV9 - FII,2015-12-01,INVESTIDOR PROFISSIONAL,,77850000.0,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,23537203000117,RUA LAURO MULLER,116,SL 2101 A 2108,BOTAFOGO,RIO DE JANEIRO,RJ,22290-160,(21) 37257708,,,WWW.BRKBDTVM.COM.BR,JOLIVEIRA@BROOKFIELDBR.COM
23.538.112/0001-04,2017-12-01,1,2018-03-28,FUNDO DE INVESTIMENTO IMOBILIARIO SF - FII,2015-12-01,INVESTIDOR PROFISSIONAL,,33100000.0,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,23538112000104,RUA LAURO MULLER,116,SL 2101 A 2108,BOTAFOGO,RIO DE JANEIRO,RJ,22290-160,(21) 37257708,,,WWW.BRKBDTVM.COM.BR,JOLIVEIRA@BROOKFIELDBR.COM
23.570.871/0001-46,2017-12-01,1,2018-03-28,FUNDO DE INVESTIMENTO IMOBILIARIO TM - FII,2015-12-01,INVESTIDOR PROFISSIONAL,,293997662.19,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,23570871000146,RUA LAURO MULLER,116,SL 2101 A 2108,BOTAFOGO,RIO DE JANEIRO,RJ,22290-160,(21) 37257708,,,WWW.BRKBDTVM.COM.BR,JOLIVEIRA@BROOKFIELDBR.COM
23.582.914/0001-03,2017-12-01,1,2018-03-28,FUNDO DE INVESTIMENTO IMOBILIARIO CJ - FII,2016-01-21,INVESTIDOR PROFISSIONAL,,43509054.48,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,23582914000103,RUA LAURO MULLER,116,SL 2101 A 2108,BOTAFOGO,RIO DE JANEIRO,RJ,22290-160,(21) 37257708,,,WWW.BRKBDTVM.COM.BR,JOLIVEIRA@BROOKFIELDBR.COM
23.740.527/0001-58,2017-12-01,1,2018-03-29,FUNDO DE INVESTIMENTO IMOBILIÁRIO GREEN TOWERS,2017-07-11,INVESTIDOR PROFISSIONAL,,4558970.0404016,S,N,Renda,Lajes Corporativas,Ativa,Indeterminado,,31/12,N,S,N,N,S,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,23740527000158,Avenida das Nações Unidas,14171,torre A - 11º andar,Vila Gertrudes,São Paulo,SP,04794-000,(11) 5171-5359,,,www.vam.com.br,vwmprodutosestruturados@votorantimwm.com.br
23.740.552/0001-31,2017-12-01,1,2018-03-27,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM PATRIMONIAL XII,2016-04-06,INVESTIDOR PROFISSIONAL,,103500.0,S,S,Desenvolvimento para Venda,Híbrido,Ativa,Indeterminado,,31/12,N,S,N,N,S,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,23740552000131,Avenida das Nações Unidas,14171,torre A - 11º andar,Vila Gertrudes,São Paulo,SP,04794-000,(11) 5171-5096,,,www.vam.com.br,vwmprodutosestruturados@votorantimwm.com.br
23.740.575/0001-46,2017-12-01,1,2018-03-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM QUATRO BARRAS,2016-07-15,INVESTIDOR QUALIFICADO,,114878.0,S,S,Desenvolvimento para Renda,Híbrido,Ativa,Determinado,2036-09-02,31/12,N,S,N,N,S,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,23740575000146,Avenida das Nações Unidas,14171,torre A - 11º andar,Vila Gertrudes,São Paulo,SP,04794-000,(11) 5171-5359,,,www.vam.com.br,vwmprodutosestruturados@votorantimwm.com.br
23.768.027/0001-24,2017-12-01,1,2018-03-29,FUNDO DE INVESTIMENTO IMOBILIÁRIO TOP CENTER,2016-07-01,INVESTIDOR QUALIFICADO,,322214000.0,N,N,Renda,Shoppings,Ativa,Determinado,2026-07-01,31/12,N,S,N,N,S,BANCO MODAL S.A.,23768027000124,PRAIA DE BOTAFOGO,501,5 ANDAR - TORRE PÃO DE AÇÚCAR,BOTAFOGO,RIO DE JANEIRO,RJ,22250040,2132237700,2132237746,2132237700,HTTPS://MODAL.COM.BR,FUNDOS.MODAL@MODAL.COM.BR
23.781.211/0001-04,2017-12-01,1,2018-03-29,FUNDO DE INV. IMOBILIÁRIO NORTHWEST FII EM SAÚDE,2015-11-27,INVESTIDORES EM GERAL,BRDRITCF009,2673860.0,N,N,Renda,Hospital,Ativa,Indeterminado,,31/12,N,N,S,N,N,RIO BRAVO INVESTIMENTOS DTVM LTDA,23.781.211/000,AV. CHEDID JAFET,222,BLOCO B - 3ª ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br
23.876.086/0001-16,2017-06-01,2,2018-05-17,JT PREV FUNDO DE INVESTIMENTO IMOBILIÁRIO D. HAB,2016-11-16,INVESTIDORES EM GERAL,BRJTPRCTF001,166000.0,N,N,Desenvolvimento para Venda,Residencial,Ativa,Determinado,2021-11-16,30/06,S,N,N,S,N,PLANNER CORRETORA DE VALORES SA,23876086000116,Avenida Brigadeiro Faria Lima,3900,10º andar,Itaim Bibi,São Paulo,SP,04538-132,(11) 2172-2600,0800 179 444,(11) 2172-2667,www.planner.com.br,investfundos@planner.com.br
23.964.908/0001-10,2017-12-01,1,2018-03-26,BRL V FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2016-07-12,INVESTIDOR PROFISSIONAL,,597972.29265,N,S,Renda,Outros,Ativa,Indeterminado,,30/12,N,N,S,N,N,BRL TRUST DTVM S.A.,23964908000110,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,contabilidadedefundos@brltrust.com.br
24.069.712/0001-25,2017-12-01,1,2018-03-29,GGR ESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,2017-08-23,INVESTIDOR QUALIFICADO,0,1e-08,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,PLANNER CORRETORA DE VALORES SA,24.069.712/000,Avenida Brigadeiro Faria Lima,3900,10º andar,Itaim Bibi,São Paulo,SP,04538-132,(11) 2172-2600,0800 179 444,(11) 2172-2667,www.planner.com.br,investfundos@planner.com.br
24.070.076/0001-51,2017-06-01,1,2017-09-26,EVEN PERMUTA KINEA FII FUNDO DE INVESTIMENTO IMOBILIÁRIO,2017-06-09,INVESTIDOR QUALIFICADO,BRKINPCTF001,291268.0,N,N,Desenvolvimento para Venda,Residencial,Ativa,Determinado,2023-06-09,30/06,S,N,N,S,N,INTRAG DISTR DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,24070076000151,AV BRIGADEIRO FARIA LIMA,3400,10º andar,ITAIM BIBI,SÃO PAULO,SP,04538-132,55-(11)30726012,,,www.intrag.com.br,relacionamento.intrag@itau-unibanco.com.br
24.774.904/0001-32,2017-12-01,1,2018-03-29,NF CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,2017-09-22,INVESTIDOR PROFISSIONAL,,37380.97941554,S,N,,,,Indeterminado,,31/12,N,N,S,N,N,FINAXIS CORRETORA,24774904000132,Avenida Paulista,1842,Torre Norte 1º andar cj. 17,Cerqueira Cesar,São Paulo,SP,01310-923,(11) 3526 9001,,,http://finaxis.com.br/,informacoesfundos@finaxis.com.br
24.814.916/0001-43,2017-12-01,3,2018-06-15,FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO NESTPAR,2016-05-23,INVESTIDORES EM GERAL,BRNPARCTF003,131291.16842816,N,N,Híbrido,Outros,Ativa,Indeterminado,,30/12,S,S,N,S,N,PLANNER CORRETORA DE VALORES SA,24814916000143,Avenida Brigadeiro Faria Lima,3900,10º andar,Itaim Bibi,São Paulo,SP,04538-132,(11) 2172-2600,0800 179 444,(11) 2172-2667,www.planner.com.br,investfundos@planner.com.br
24.853.060/0001-15,2017-12-01,1,2018-03-27,XPCE RE FUNDO DE INVESTIMENTO IMOBILIÁRIO,2015-12-27,INVESTIDOR QUALIFICADO,,29645.42905196,N,S,Renda,Outros,Ativa,Indeterminado,,30/12,N,N,S,N,N,BRL TRUST DTVM S.A.,24853060000115,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,contabilidadedefundos@brltrust.com.br
24.960.430/0001-13,2017-02-01,1,2017-03-30,KINEA INDICES DE PREÇOS FII,2016-09-16,INVESTIDOR QUALIFICADO,BRKNIPCTF001,4000000.0,N,N,Títulos e Valores Mobiliários,Títulos e Val. Mob.,Ativa,Indeterminado,,30/06,S,N,N,S,N,INTRAG DISTR DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,24960430000113,AV BRIGADEIRO FARIA LIMA,3400,10º andar,ITAIM BIBI,SÃO PAULO,SP,04538-132,55-(11)30726012,,,www.intrag.com.br,produtosestruturados@itau-unibanco.com.br
24.960.430/0001-13,2017-06-01,2,2018-02-09,KINEA INDICES DE PREÇOS FII,2016-09-16,INVESTIDOR QUALIFICADO,BRKNIPCTF001,10120100.0,N,N,Títulos e Valores Mobiliários,Títulos e Val. Mob.,Ativa,Indeterminado,,30/06,S,N,N,S,N,INTRAG DISTR DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,24960430000113,AV BRIGADEIRO FARIA LIMA,3400,10º andar,ITAIM BIBI,SÃO PAULO,SP,04538-132,55-(11)30726012,,,www.intrag.com.br,relacionamento.intrag@itau-unibanco.com.br
25.032.881/0001-53,2017-06-01,1,2017-10-02,FUNDO DE INVESTIMENTO IMOBILIÁRIO TG ATIVO REAL,2016-12-09,INVESTIDOR PROFISSIONAL,,210077.3337,N,N,Híbrido,Híbrido,Ativa,Indeterminado,,30/06,N,N,S,N,N,INTRADER DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A,25032881000153,Rua Ramos Batista,152,,Vila Olímpia,São Paulo,SP,04552020,(11) 3198-5151,,,www.intraderdtvm.com.br,adm@intrader.com.br
26.091.656/0001-50,2017-06-01,1,2017-09-27,OURINVEST JPP FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2016-11-30,INVESTIDORES EM GERAL,BRFIIJCTF004,720000.0,N,N,Títulos e Valores Mobiliários,Títulos e Val. Mob.,Ativa,Indeterminado,,30/06,S,N,N,S,N,FINAXIS CORRETORA,26091656000150,Avenida Paulista,1842,Torre Norte 1º andar cj. 17,Cerqueira Cesar,São Paulo,SP,01310-923,(11) 3526 9001,,,http://finaxis.com.br/,informacoesfundos@finaxis.com.br
26.132.504/0001-59,2017-12-01,1,2018-04-06,CIX CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,2016-09-22,INVESTIDOR QUALIFICADO,,0.0,N,N,,,,Indeterminado,,28/12,N,N,S,N,N,FRAM CAPITAL DTVM S.A.,26132504000159,Avenida Presidente Jucelino Kubitschek,1700,2º ANDAR,VILA NOVA CONCEIÇÃO,SÃO PAULO,SP,04543-000,(11) 3513-3144,,,www.framcapitaldtvm.com,fiduciario@framcapitaldtvm.com
26.195.121/0001-20,2017-12-01,1,2018-03-19,BRAZIL REAL ESTATE VICTORY FUND I - F.I.I.,2012-05-03,INVESTIDOR PROFISSIONAL,,500000.0,S,N,Renda,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,BR-CAPITAL DISTRIB. TÍTULOS E VALORES MOBILIÁRIOS S.A.,26195121000120,AVENIDA NAÇÕES UNIDAS,11857,CJ. 111,BROOKLIN NOVO,SÃO PAULO,SP,04578908,11-5508.3500,,,WWW.BRCAPITAL.COM.BR,col@brcapital.com.br
26.395.660/0001-02,2017-12-01,1,2018-03-28,FUNDO DE INVESTIMENTO IMOBILIARIO TOURMALET I,2016-12-23,INVESTIDOR QUALIFICADO,,755850.0,N,N,Renda,Outros,Ativa,Determinado,2021-12-26,30/12,N,N,S,N,N,BRL TRUST DTVM S.A.,26395660000102,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,contabilidadedefundos@brltrust.com.br
26.452.064/0001-17,2017-12-01,1,2018-04-06,EQUIINFINITY FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2017-08-11,INVESTIDOR PROFISSIONAL,,100.0,S,N,Desenvolvimento para Renda,Outros,Ativa,Indeterminado,,31/12,N,N,S,N,N,ORLA DTVM S/A,26452064000117,Rua da Assembléia,10,SALA 2601,CENTRO,RIO DE JANEIRO,RJ,20011-901,(21) 2531-1215,,,www.orladtvm.com.br,orla@orladtvm.com.br
26.499.833/0001-32,2017-12-01,2,2018-05-22,MALLS BRASIL PLURAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,2017-12-14,INVESTIDORES EM GERAL,BRMALLCTF007,1860134.0,N,N,Renda,Shoppings,Ativa,Indeterminado,,31/12,S,N,N,S,N,GERAÇÃO FUTURO CORRETORA DE VALORES S.A,26499833000132,Rua Candelária,65,Salas 1701 e 1702,Rio de Janeiro,Rio de Janeiro,RJ,20091-020,(11) 35248888,(11) 2137-8888,0800 605 8888,www.gerafuturo.com.br,middleadmint@gerafuturo.com.br
26.545.627/0001-11,2017-12-01,1,2018-03-28,BRL VI - FUNDO DE INVESTIMENTO IMOBILIARIO,2017-03-22,INVESTIDOR PROFISSIONAL,,484.0,N,S,Desenvolvimento para Venda,Outros,Ativa,Indeterminado,,30/12,N,N,S,N,N,BRL TRUST DTVM S.A.,26545627000111,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,contabilidadedefundos@brltrust.com.br
26.614.291/0001-00,2017-06-01,3,2018-09-05,GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,2017-01-11,INVESTIDORES EM GERAL,BRGGRCCTF002,1413807.0,N,N,Híbrido,Logística,Ativa,Indeterminado,,30/06,S,N,N,S,N,CM CAPITAL MARKETS DTVM LTDA,26614291000100,Rua Gomes de Carvalho,1195,4º ANDAR,Vila Olímpia,SÃO PAULO,SP,04547-004,(11) 38421122,,,www.cmcapitalmarkets.com.br,fundos@cmcapitalmarkets.com.br
26.642.727/0001-66,2017-12-01,1,2018-03-29,DIAMANTE FUNDO DE INVESTIMENTO IMOBILIARIO,2017-02-14,INVESTIDOR QUALIFICADO,BRDAMTCTF007,150000000.0,N,N,Renda,Híbrido,Passiva,Determinado,2027-02-01,31/12,N,S,N,N,S,BANCO MODAL S.A.,26642727000166,PRAIA DE BOTAFOGO,501,5 ANDAR - TORRE PÃO DE AÇÚCAR,BOTAFOGO,RIO DE JANEIRO,RJ,22250040,2132237700,2132237746,,HTTPS://MODAL.COM.BR,FUNDOS.MODAL@MODAL.COM.BR
26.846.202/0001-42,2017-06-01,1,2017-09-28,FUNDO DE INVESTIMENTOS IMOBILIÁRIO - HABITAT I,2017-05-17,INVESTIDOR PROFISSIONAL,,200000.0,S,N,,,,Determinado,2024-01-30,30/06,N,N,S,N,N,INTRADER DTVM LTDA,26846202000142,rua ramos batista,152,,VILA OLIMPIA,SÃO PAULO,SP,04552020,11-3198-5932,,,WWW.INTRADERDTVM.COM.BR,INTRADER@INTRADER.COM.BR
26.990.011/0001-50,2017-12-01,1,2018-03-21,TREECORP REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO I,2017-01-20,INVESTIDOR QUALIFICADO,BRTCPFCTF001,289000.0,N,N,Renda,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,BR-CAPITAL DISTRIB. TÍTULOS E VALORES MOBILIÁRIOS S.A.,26990011000150,AVENIDA NAÇÕES UNIDAS,11857,CJ. 111,BROOKLIN NOVO,SÃO PAULO,SP,04578908,11-5508.3500,,,WWW.BRCAPITAL.COM.BR,col@brcapital.com.br
27.293.656/0001-04,2017-12-01,1,2018-04-04,STATERA FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,2017-05-18,INVESTIDOR PROFISSIONAL,,10000.0,N,S,,,,Indeterminado,,31/12,N,N,S,N,N,FRAM CAPITAL DTVM S.A.,27293656000104,Avenida Presidente Jucelino Kubitschek,1700,2º ANDAR,VILA NOVA CONCEIÇÃO,SÃO PAULO,SP,04543-000,(11) 3513-3144,,,www.framcapitaldtvm.com,fiduciario@framcapitaldtvm.com
27.293.689/0001-46,2017-12-01,1,2018-04-03,FRAM CAPITAL IV FUNDO DE INVESTIMENTO IMOBILIÁRIO,2017-07-24,INVESTIDOR QUALIFICADO,,6546.85589351,N,N,,,,Indeterminado,,31/12,N,N,S,N,N,FRAM CAPITAL DTVM S.A.,27293689000146,Avenida Presidente Jucelino Kubitschek,1700,2º ANDAR,VILA NOVA CONCEIÇÃO,SÃO PAULO,SP,04543-000,(11) 3513-3144,,,www.framcapitaldtvm.com,fiduciario@framcapitaldtvm.com
27.368.600/0001-63,2017-12-01,1,2018-03-28,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM LOGÍSTICA,2017-12-15,INVESTIDOR QUALIFICADO,BRVTLTCTF001,2115000.0,N,N,Renda,Logística,Ativa,Indeterminado,,31/12,N,S,N,N,S,VOTORANTIM ASSET MANAGEMENT DTVM LTDA.,27368600000163,Avenida das Nações Unidas,14171,torre A - 11º andar,Vila Gertrudes,São Paulo,SP,04794-000,(11) 5171-5359,,,www.vam.com.br,vwmprodutosestruturados@votorantimwm.com.br
27.529.279/0001-51,2017-12-01,1,2018-03-29,FUNDO DE INVESTIMENTO IMOBILIARIO RBR ALPHA FUNDO DE FUNDOS,2017-09-14,INVESTIDOR QUALIFICADO,BRRBRFCTF003,809992.0,N,N,Renda,Títulos e Val. Mob.,Passiva,Indeterminado,,Dezembro,N,N,S,N,N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. - DTVM,27529279000151,Praia de Botafogo,501,6º Andar,Botafogo,Rio de Janeiro,RJ,22250-040,(11) 3383-3441,,,www.btgpactual.com,sh-contato-fundoimobiliario@btgpactual.com
27.538.335/0001-14,2017-12-01,1,2018-04-04,CIX CAPITAL OPORTUNIDADES FUNDO DE INVESTIMENTO IMOBILIÁRIO,2017-12-28,INVESTIDOR QUALIFICADO,,1000.0,N,N,,,,Indeterminado,,31/12,N,N,S,N,N,FRAM CAPITAL DTVM S.A.,27538335000114,Avenida Presidente Jucelino Kubitschek,1700,2º ANDAR,VILA NOVA CONCEIÇÃO,SÃO PAULO,SP,04543-000,(11) 3513-3144,,,www.framcapitaldtvm.com,fiduciario@framcapitaldtvm.com
27.602.955/0001-75,2017-12-01,1,2018-03-29,FUNDO DE INVESTIMENTO IMOBILIARIO MILLENIUM FII,2017-07-10,INVESTIDOR QUALIFICADO,,324098.0,N,N,Renda,Outros,Ativa,Indeterminado,,31/12,N,S,N,N,S,RIO BRAVO INVESTIMENTOS DTVM - LTDA,27602955000175,Av. Chedid Jafet,222,Bloco B - 3º andar,Vila Olimpia,SÃO PAULO,SP,04551-065,(11) 3509-6600,,correspondencia@riobravo.com.br,www.riobravo.com.br,43100
28.090.655/0001-17,2017-12-01,1,2018-03-27,VALORA RE I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2017-08-08,INVESTIDOR PROFISSIONAL,BRVLORCTF006,24675.15,S,N,Títulos e Valores Mobiliários,Híbrido,Ativa,Determinado,2022-08-01,31/12,N,S,N,N,S,OLIVEIRA TRUST DTVM S.A.,28090655000117,Avenida das Américas,3434,Bloco 7 Sala 201,Barra da Tijuca,Rio de Janeiro,RJ,22640102,(21) 3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br
28.108.193/0001-18,2017-12-01,1,2018-03-29,DEL MONTE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2017-12-15,INVESTIDORES EM GERAL,0,3200000.0,N,N,Renda,Híbrido,Ativa,Indeterminado,,31/12,N,N,S,N,N,PLANNER CORRETORA DE VALORES SA,28108193000118,Avenida Brigadeiro Faria Lima,3900,10º andar,Itaim Bibi,São Paulo,SP,04538-132,(11) 2172-2600,0800 179 444,(11) 2172-2667,www.planner.com.br,investfundos@planner.com.br
28.152.272/0001-26,2017-12-01,3,2018-04-17,FUNDO DE INVEST IMOB -FII UBS (BR) RECEBÍVEIS IMOBILIÁRIOS,2017-10-16,INVESTIDORES EM GERAL,BRUBSRCTF000,310888.0,N,S,Títulos e Valores Mobiliários,Títulos e Val. Mob.,Ativa,Indeterminado,,31/12,S,N,N,S,N,BANCO OURINVEST S/A,28.152.272/000,Av. Paulista,1728,"SL,1,2 E 11",Bela Vista,São Paulo,SP,01310-919,4081-4402,4081-4576,4081-4444,ourinvest.com.br,negociosimobiliarios@ourinvest.com.br
28.216.384/0001-01,2017-12-01,1,2018-03-27,SICOOB AGÊNCIAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,2017-09-19,INVESTIDOR QUALIFICADO,BRSCOOCTF008,2615899.0,N,N,Renda,Híbrido,Passiva,Indeterminado,,31/12,N,S,N,S,N,BANCOOB DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,28216384000101,SIG Quadra 06 - Lote,2080,Sala 201,Setor de Indústrias Gráficas,Brasília,DF,70610460,6132175525,6132175583,6132175315,www.bancoob.com.br/bancoob-dtvm                                     ,fundos@bancoob.com.br
28.267.530/0001-10,2017-12-01,1,2018-04-03,SABUGAL FUNDO DE INVESTIMENTO IMOBILIARIO,2017-01-13,INVESTIDOR QUALIFICADO,,3452.43303,N,N,,,,Indeterminado,,31/12,N,N,S,N,N,FRAM CAPITAL DTVM S.A.,28267530000110,Avenida Presidente Jucelino Kubitschek,1700,2º ANDAR,VILA NOVA CONCEIÇÃO,SÃO PAULO,SP,04543-000,(11) 3513-3144,,,www.framcapitaldtvm.com,fiduciario@framcapitaldtvm.com
28.851.767/0001-43,2017-12-01,1,2018-04-03,FUNDO DE INVEST. IMOBILIÁRIO HOSPITAL UNIMED CAPIXABA,2017-10-06,INVESTIDORES EM GERAL,BRAGCXCTF003,8000.0,S,N,Desenvolvimento para Renda,Outros,Ativa,Indeterminado,,31/12,N,N,S,N,N,RIO BRAVO INVESTIMENTOS DTVM LTDA,28851767000143,AV. CHEDID JAFET,222,BLOCO B - 3ª ANDAR,VILA OLÍMPIA,SÃO PAULO,SP,045551-065,(11) 3509-6600,,,www.riobravo.com.br,fundosimobiliarios@riobravo.com.br
