CNPJ_Fundo,Data_Referencia,Versao,Data_Entrega,Nome_Fundo,Data_Funcionamento,Publico_Alvo,Codigo_ISIN,Quantidade_Cotas_Emitidas,Fundo_Exclusivo,Fundo_Nao_Listado_Exclusivo,Cotistas_Vinculo_Familiar,Mandato,Segmento_Atuacao,Tipo_Gestao,Prazo_Duracao,Data_Prazo_Duracao,Encerramento_Exercicio_Social,Mercado_Negociacao_Bolsa,Mercado_Negociacao_MBO,Mercado_Negociacao_MB,Entidade_Administradora_BVMF,Entidade_Administradora_CETIP,Nome_Administrador,CNPJ_Administrador,Logradouro,Numero,Complemento,Bairro,Cidade,Estado,CEP,Telefone1,Telefone2,Telefone3,Site,Email,Data_Encerramento_Trimestre
18.312.285/0001-61,2017-12-31,1,2018-02-08,EZTB FUNDO DE INVESTIMENTO IMOBILIARIO - FII,2017-09-11,INVESTIDOR PROFISSIONAL,,198671135.66,Não,Não,Não,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,Não,Não,Sim,Não,Não,BRKB DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,18312285000161.0,RUA LAURO MULLER,116,SL 2101 A 2108,BOTAFOGO,RIO DE JANEIRO,RJ,22290-160,(21) 37257708,,,WWW.BRKBDTVM.COM.BR,JOLIVEIRA@BROOKFIELDBR.COM,2017-12-31
18.330.535/0001-96,2017-03-31,2,2017-06-09,RB CAPITAL PETROS FII,2013-09-23,INVESTIDOR QUALIFICADO,BRRBCACTF006,474468.0348389,Sim,Não,Não,Renda,Híbrido,Ativa,Indeterminado,,Dezembro,Não,Sim,Não,Não,Sim,BEM DTVM LTDA,18330535000196.0,NÚCLEO CIDADE DE DEUS,S/N,PRÉDIO PRATA -  4º ANDAR,VL YARA,OSASCO,SP,06029-900,(11) 3684-4522,,,www.bemdtvm.com.br,bemdtvm@bradesco.com.br,2017-03-31
18.330.535/0001-96,2017-06-30,2,2017-09-29,RB CAPITAL PETROS FII,2013-09-23,INVESTIDOR QUALIFICADO,BRRBCACTF006,474468.0348389,Sim,Não,Não,Renda,Híbrido,Ativa,Indeterminado,,Dezembro,Não,Sim,Não,Não,Sim,BEM DTVM LTDA,18330535000196.0,NÚCLEO CIDADE DE DEUS,S/N,PRÉDIO PRATA -  4º ANDAR,VL YARA,OSASCO,SP,06029-900,(11) 3684-4522,,,www.bemdtvm.com.br,bemdtvm@bradesco.com.br,2017-06-30
18.330.535/0001-96,2017-09-29,1,2017-11-14,RB CAPITAL PETROS FII,2013-09-23,INVESTIDOR QUALIFICADO,BRRBCACTF006,474468.0348389,Sim,Não,Não,Renda,Híbrido,Ativa,Indeterminado,,Dezembro,Não,Sim,Não,Não,Sim,BEM DTVM LTDA,66670000100.0,Cidade de Deus,S/N,,Vl Yara,Osasco,SP,02960-000,(11) 3684-7125,(11) 3684-3739,,www.bradescobemdtvm.com.br,bemdtvm@bradesco.com.br,2017-09-29
18.330.535/0001-96,2017-12-29,1,2018-02-14,RB CAPITAL PETROS FII,2013-09-23,INVESTIDOR QUALIFICADO,BRRBCACTF006,474468.0348389,Sim,Não,Não,Renda,Híbrido,Ativa,Indeterminado,,Dezembro,Não,Sim,Não,Não,Sim,BEM DTVM LTDA,66670000100.0,Cidade de Deus,S/N,Prédio Amarelo,Vl Yara,Osasco,SP,02960-000,(11) 3684-4522,(11) 3684-5713,,www.bradescobemdtvm.com.br,bemdtvm@bradesco.com.br,2017-12-29
18.369.510/0001-04,2017-03-31,1,2017-05-15,FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII,2013-10-04,INVESTIDOR QUALIFICADO,BRFINFCTF002,820112.7613235,Não,Não,Não,Desenvolvimento para Renda,Logística,Ativa,Indeterminado,,30/06,Sim,Sim,Não,Sim,Sim,PLANNER CORRETORA DE VALORES SA,18369510000104.0,Avenida Brigadeiro Faria Lima,3900,10º andar,Itaim Bibi,São Paulo,SP,04538-132,(11) 2172-2600,0800 179 444,(11) 2172-2667,www.planner.com.br,investfundos@planner.com.br,2017-03-31
18.369.510/0001-04,2017-06-30,1,2017-08-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII,2013-10-04,INVESTIDOR QUALIFICADO,BRFINFCTF002,820112.7613235,Não,Não,Não,Desenvolvimento para Renda,Logística,Ativa,Indeterminado,,30/06,Sim,Sim,Não,Sim,Sim,PLANNER CORRETORA DE VALORES SA,18369510000104.0,Avenida Brigadeiro Faria Lima,3900,10º andar,Itaim Bibi,São Paulo,SP,04538-132,(11) 2172-2600,0800 179 444,(11) 2172-2667,www.planner.com.br,investfundos@planner.com.br,2017-06-30
18.369.510/0001-04,2017-09-29,1,2017-11-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII,2013-10-04,INVESTIDOR QUALIFICADO,BRFINFCTF002,820112.7613235,Não,Não,Não,Desenvolvimento para Renda,Logística,Ativa,Indeterminado,,30/06,Sim,Sim,Não,Sim,Sim,PLANNER CORRETORA DE VALORES SA,18369510000104.0,Avenida Brigadeiro Faria Lima,3900,10º andar,Itaim Bibi,São Paulo,SP,04538-132,(11) 2172-2600,0800 179 444,(11) 2172-2667,www.planner.com.br,investfundos@planner.com.br,2017-09-29
18.369.510/0001-04,2017-12-31,1,2018-02-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII,2013-10-04,INVESTIDOR QUALIFICADO,BRFINFCTF002,820112.7613235,Não,Não,Não,Desenvolvimento para Renda,Logística,Ativa,Indeterminado,,30/06,Sim,Sim,Não,Sim,Sim,PLANNER CORRETORA DE VALORES SA,18369510000104.0,Avenida Brigadeiro Faria Lima,3900,10º andar,Itaim Bibi,São Paulo,SP,04538-132,(11) 2172-2600,0800 179 444,(11) 2172-2667,www.planner.com.br,investfundos@planner.com.br,2017-12-29
18.497.672/0001-10,2017-03-31,1,2017-05-15,FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO ESTOQUE II - FII,2014-05-08,INVESTIDOR QUALIFICADO,BRESTQCTF008,44369577.6204,Sim,Sim,Não,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,Não,Sim,Não,Não,Sim,OLIVEIRA TRUST DTVM S.A.,18497672000110.0,Avenida das Américas,3434,Bl. 07 Sala 201,Barra da Tijuca,Rio de Janeiro,RJ,22640-102,(21) 3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br,2017-03-31
18.497.672/0001-10,2017-06-30,1,2017-08-14,FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO ESTOQUE II - FII,2014-05-08,INVESTIDOR QUALIFICADO,BRESTQCTF008,444369577.620432,Sim,Sim,Não,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,Não,Sim,Não,Não,Sim,OLIVEIRA TRUST DTVM S.A.,18497672000110.0,Avenida das Américas,3434,"Bloco 07, Sala 201",Barra da Tijuca,Rio de Janeiro,RJ,22640-102,(21) 3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br,2017-06-30
18.497.672/0001-10,2017-09-30,1,2017-11-13,FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO ESTOQUE II - FII,2014-05-08,INVESTIDOR QUALIFICADO,BRESTQCTF008,444369577.620432,Sim,Sim,Não,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,Não,Sim,Não,Não,Sim,OLIVEIRA TRUST DTVM S.A.,18497672000110.0,Avenida das Américas,3434,"Bloco 07, Sala 201",Barra da Tijuca,Rio de Janeiro,RJ,22640-102,(21) 3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br,2017-09-30
18.497.672/0001-10,2017-12-31,1,2018-02-07,FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO ESTOQUE II - FII,2014-05-08,INVESTIDOR QUALIFICADO,BRESTQCTF008,444369577.620432,Sim,Sim,Não,Híbrido,Híbrido,Ativa,Indeterminado,,31/12,Não,Sim,Não,Não,Sim,OLIVEIRA TRUST DTVM S.A.,18497672000110.0,Avenida das Américas,3434,"Bloco 07, Sala 201",Barra da Tijuca,Rio de Janeiro,RJ,22640-102,(21) 3514-0000,,,www.oliveiratrust.com.br,ger2.fundos@oliveiratrust.com.br,2017-12-31
18.570.740/0001-29,2017-03-31,1,2017-05-11,QUORUM HASTA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2014-08-05,INVESTIDOR QUALIFICADO,,7674.4875,Sim,Não,Não,Híbrido,Residencial,Ativa,Indeterminado,,30/06,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18570740000129.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-03-31
18.570.740/0001-29,2017-06-30,1,2017-07-20,QUORUM HASTA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2014-08-05,INVESTIDOR QUALIFICADO,,7674.487531,Sim,Não,Não,Híbrido,Residencial,Ativa,Indeterminado,,30/06,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18570740000129.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-06-30
18.570.740/0001-29,2017-09-29,1,2017-11-14,QUORUM HASTA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2014-08-05,INVESTIDOR QUALIFICADO,,7674.487531,Sim,Não,Não,Híbrido,Residencial,Ativa,Indeterminado,,30/06,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18570740000129.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-09-29
18.570.740/0001-29,2017-12-29,1,2018-02-06,QUORUM HASTA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2014-08-05,INVESTIDOR QUALIFICADO,,7674.487531,Sim,Não,Não,Híbrido,Residencial,Ativa,Indeterminado,,31/12,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18570740000129.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTABILIDADEDEFUNDOS@BRLTRUST.COM.BR,2017-12-29
18.579.302/0001-21,2017-03-31,1,2017-05-22,TAG ALIANZA BTS FUNDO DE INVESTIMENTO IMOBILIÁRIO,2015-03-25,INVESTIDOR QUALIFICADO,,2563.042075,Não,Não,Sim,Desenvolvimento para Venda,Outros,Ativa,Determinado,2027-12-23,30/12,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18579302000121.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-03-31
18.579.302/0001-21,2017-06-30,1,2017-08-08,TAG ALIANZA BTS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,2015-03-25,INVESTIDOR QUALIFICADO,,2563.042075,Não,Não,Sim,Desenvolvimento para Venda,Outros,Ativa,Indeterminado,,31/12,Não,Não,Sim,Não,Não,BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A,18579302000121.0,RUA IGUATEMI,151,19 ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-06-30
18.579.302/0001-21,2017-09-29,1,2017-11-15,TAG ALIANZA BTS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,2015-03-25,INVESTIDOR QUALIFICADO,,2563.042075,Não,Não,Sim,Desenvolvimento para Venda,Outros,Ativa,Indeterminado,,31/12,Não,Não,Sim,Não,Não,BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A,18579302000121.0,RUA IGUATEMI,151,19 ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-09-29
18.579.302/0001-21,2017-12-29,1,2018-02-14,TAG ALIANZA BTS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,2015-03-25,INVESTIDOR QUALIFICADO,,2563.042075,Não,Não,Sim,Desenvolvimento para Venda,Outros,Ativa,Indeterminado,,31/12,Não,Não,Sim,Não,Não,BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A,18579302000121.0,RUA IGUATEMI,151,19 ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTABILIDADEDEFUNDOS@BRLTRUST.COM.BR,2017-12-29
18.730.914/0001-73,2017-12-31,1,2018-06-11,FII EXCLUSIVO INFRA PATRIMONIAL II,2013-09-06,INVESTIDOR PROFISSIONAL,0,55.0929255,Sim,Sim,Não,Híbrido,Outros,Ativa,Indeterminado,,30/06,Não,Não,Sim,Não,Não,PLANNER CORRETORA DE VALORES SA,18730914000173.0,Avenida Brigadeiro Faria Lima,3900,10º andar,Itaim Bibi,São Paulo,SP,04538-132,(11) 2172-2600,0800 179 444,(11) 2172-2667,www.planner.com.br,investfundos@planner.com.br,2017-12-29
18.836.451/0001-29,2017-03-31,1,2017-05-15,REAG RIACHO IMOBILIARIO - FII,2014-05-28,INVESTIDOR PROFISSIONAL,0,100.0,Sim,Não,Não,,,,Indeterminado,,31/12,Não,Não,Sim,Não,Não,INTRADER D.T.V.M. LTDA.,18836451000129.0,Rua Ramos Batista,152,,Vila Olímpia,São Paulo,SP,04552020,31985151,,,www.intrader.com.br,adm@intrader.com.br,2017-03-31
18.836.451/0001-29,2017-06-30,1,2017-08-15,REAG RIACHO IMOBILIARIO - FII,2014-05-28,INVESTIDOR QUALIFICADO,0,100.0,Sim,Não,Não,,,,Indeterminado,,31/12,Não,Não,Sim,Não,Não,INTRADER D.T.V.M. LTDA.,18836451000129.0,Rua Ramos Batista,152,,Vila Olímpia,São Paulo,SP,04552020,31985151,,,www.intrader.com.br,adm@intrader.com.br,2017-06-30
18.836.451/0001-29,2017-09-29,1,2017-11-13,REAG RIACHO IMOBILIARIO - FII,2014-05-28,INVESTIDOR QUALIFICADO,0,100.0,Sim,Não,Não,,,,Indeterminado,,31/12,Não,Não,Sim,Não,Não,INTRADER D.T.V.M. LTDA.,18836451000129.0,Rua Ramos Batista,152,,Vila Olímpia,São Paulo,SP,04552020,31985151,,,www.intrader.com.br,adm@intrader.com.br,2017-09-29
18.836.451/0001-29,2017-12-29,1,2018-02-14,REAG RIACHO IMOBILIARIO - FII,2014-05-28,INVESTIDOR QUALIFICADO,0,100.0,Sim,Não,Não,,,,Indeterminado,,31/12,Não,Não,Sim,Não,Não,INTRADER D.T.V.M. LTDA.,18836451000129.0,Rua Ramos Batista,152,,Vila Olímpia,São Paulo,SP,04552020,31985151,,,www.intrader.com.br,adm@intrader.com.br,2017-12-29
18.874.954/0001-99,2017-03-31,1,2017-05-12,TARANTO FUNDO DE INVESTIMENTO IMOBILIARIO,2014-06-04,INVESTIDOR QUALIFICADO,,0.55653,Não,Não,Não,Renda,Outros,Ativa,Indeterminado,,31/12,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18874954000199.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-03-31
18.874.954/0001-99,2017-06-30,1,2017-08-01,TARANTO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2014-06-04,INVESTIDOR QUALIFICADO,,0.565946,Não,Não,Não,Renda,Outros,Ativa,Indeterminado,,30/06,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18874954000199.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-06-30
18.874.954/0001-99,2017-09-29,1,2017-11-14,TARANTO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2014-06-04,INVESTIDOR QUALIFICADO,,0.584946,Não,Não,Não,Renda,Outros,Ativa,Indeterminado,,30/06,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18874954000199.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-09-29
18.874.954/0001-99,2017-12-29,1,2018-02-14,TARANTO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2014-06-04,INVESTIDOR QUALIFICADO,,0.584946,Não,Não,Não,Renda,Outros,Ativa,Indeterminado,,31/12,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18874954000199.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTABILIDADEDEFUNDOS@BRLTRUST.COM.BR,2017-12-29
18.874.965/0001-79,2017-03-31,1,2017-05-11,CIDADE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2013-08-14,INVESTIDOR QUALIFICADO,,166750.0,Não,Não,Sim,Renda,Shoppings,Ativa,Indeterminado,,31/12,Não,Sim,Não,Não,Sim,BRL TRUST DTVM S.A.,18874965000179.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-03-31
18.874.965/0001-79,2017-06-30,1,2017-07-21,CIDADE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2013-08-14,INVESTIDOR QUALIFICADO,,166750.0,Não,Não,Sim,Renda,Shoppings,Ativa,Indeterminado,,31/12,Não,Sim,Não,Não,Sim,BRL TRUST DTVM S.A.,18874965000179.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-06-30
18.874.965/0001-79,2017-09-29,1,2017-11-15,CIDADE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2013-08-14,INVESTIDOR QUALIFICADO,,166750.0,Não,Não,Sim,Renda,Shoppings,Ativa,Indeterminado,,31/12,Não,Sim,Não,Não,Sim,BRL TRUST DTVM S.A.,18874965000179.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-09-29
18.874.965/0001-79,2017-12-29,1,2018-02-14,CIDADE - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,2013-08-14,INVESTIDOR QUALIFICADO,,166750.0,Não,Não,Sim,Renda,Shoppings,Ativa,Indeterminado,,31/12,Não,Sim,Não,Não,Sim,BRL TRUST DTVM S.A.,18874965000179.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTABILIDADEDEFUNDOS@BRLTRUST.COM.BR,2017-12-29
18.929.051/0001-68,2017-03-31,1,2017-05-11,GOODMAN PATRIMONIAL I FUNDO DE INVESTIMENTO IMOBILIÁRIO,2014-05-03,INVESTIDOR QUALIFICADO,,28.62215,Não,Não,Sim,Renda,Outros,Ativa,Indeterminado,,30/12,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18929051000168.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-03-31
18.929.051/0001-68,2017-06-30,1,2017-07-24,GOODMAN PATRIMONIAL I FUNDO DE INVESTIMENTO IMOBILIÁRIO,2014-05-03,INVESTIDOR QUALIFICADO,,26.497815,Não,Não,Sim,Renda,Outros,Ativa,Indeterminado,,30/12,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18929051000168.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-06-30
18.929.051/0001-68,2017-09-29,1,2017-11-15,GOODMAN PATRIMONIAL I FUNDO DE INVESTIMENTO IMOBILIÁRIO,2014-05-03,INVESTIDOR QUALIFICADO,,26.497815,Não,Não,Sim,Renda,Outros,Ativa,Indeterminado,,30/12,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18929051000168.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-09-29
18.929.051/0001-68,2017-12-29,1,2018-02-09,GOODMAN PATRIMONIAL I FUNDO DE INVESTIMENTO IMOBILIÁRIO,2014-05-03,INVESTIDOR QUALIFICADO,,26.497815,Não,Não,Sim,Renda,Outros,Ativa,Indeterminado,,30/12,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18929051000168.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-12-29
18.929.094/0001-43,2017-03-31,1,2017-05-15,SHOPPING IPIRANGA FII,2014-01-30,INVESTIDOR PROFISSIONAL,0,9740.20549,Sim,Não,Não,,,,Indeterminado,,31/12,Não,Não,Sim,Não,Não,INTRADER D.T.V.M. LTDA.,18929094000143.0,Rua Ramos Batista,152,,Vila Olímpia,São Paulo,SP,04552020,31985151,,,www.intrader.com.br,adm@intrader.com.br,2017-03-31
18.929.094/0001-43,2017-06-30,1,2017-08-15,SHOPPING IPIRANGA FII,2014-01-30,INVESTIDOR PROFISSIONAL,0,9740.20549,Sim,Não,Não,,,,Indeterminado,,31/12,Não,Não,Sim,Não,Não,INTRADER D.T.V.M. LTDA.,18929094000143.0,Rua Ramos Batista,152,,Vila Olímpia,São Paulo,SP,04552020,31985151,,,www.intrader.com.br,adm@intrader.com.br,2017-06-30
18.929.094/0001-43,2017-09-29,1,2017-11-13,SHOPPING IPIRANGA FII,2014-01-30,INVESTIDOR PROFISSIONAL,0,9740.20549,Sim,Não,Não,,,,Indeterminado,,31/12,Não,Não,Sim,Não,Não,INTRADER D.T.V.M. LTDA.,18929094000143.0,Rua Ramos Batista,152,,Vila Olímpia,São Paulo,SP,04552020,31985151,,,www.intrader.com.br,adm@intrader.com.br,2017-09-29
18.929.094/0001-43,2017-12-29,1,2018-02-14,SHOPPING IPIRANGA FII,2014-01-30,INVESTIDOR PROFISSIONAL,0,9740.20549,Sim,Não,Não,,,,Indeterminado,,31/12,Não,Não,Sim,Não,Não,INTRADER D.T.V.M. LTDA.,18929094000143.0,Rua Ramos Batista,152,,Vila Olímpia,São Paulo,SP,04552020,31985151,,,www.intrader.com.br,adm@intrader.com.br,2017-12-29
18.929.353/0001-36,2017-03-31,1,2017-05-11,BRL EDIFÍCIOS COMERCIAIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,2014-12-19,INVESTIDOR QUALIFICADO,,36946.4957,Não,Não,Sim,Renda,Outros,Ativa,Indeterminado,,30/12,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18929353000136.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-03-31
18.929.353/0001-36,2017-06-30,1,2017-07-25,BRL EDIFÍCIOS COMERCIAIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,2015-01-02,INVESTIDOR QUALIFICADO,,38073.50012684,Não,Não,Não,Desenvolvimento para Renda,Lajes Corporativas,Passiva,Indeterminado,,31/12,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18929353000136.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-06-30
18.929.353/0001-36,2017-09-29,1,2017-11-14,BRL EDIFÍCIOS COMERCIAIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,2015-01-02,INVESTIDOR QUALIFICADO,,39029.757392,Não,Não,Não,Desenvolvimento para Renda,Lajes Corporativas,Passiva,Indeterminado,,31/12,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18929353000136.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTROLADORIA@BRLTRUST.COM.BR,2017-09-29
18.929.353/0001-36,2017-12-29,1,2018-02-14,BRL EDIFÍCIOS COMERCIAIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,2015-01-02,INVESTIDOR QUALIFICADO,,39029.757392,Não,Não,Não,Desenvolvimento para Renda,Lajes Corporativas,Passiva,Indeterminado,,31/12,Não,Não,Sim,Não,Não,BRL TRUST DTVM S.A.,18929353000136.0,RUA IGUATEMI,151,19  ANDAR,ITAIM BIBI,SÃO PAULO,SP,01451011,11 3133-0350,11 4871-2221,11 3133-0351,WWW.BRLTRUST.COM.BR,CONTABILIDADEDEFUNDOS@BRLTRUST.COM.BR,2017-12-29
18.950.957/0001-64,2017-03-31,2,2017-08-22,CHALLENGER FUNDO DE INVESTIMENTO IMOBILIARIO - FII,2014-09-05,INVESTIDOR QUALIFICADO,,102573.10892,Sim,Não,Não,,,,Indeterminado,,30/06,Não,Sim,Não,Não,Sim,BANCO FINAXIS S.A.,18950957000164.0,Rua Pasteur,463,11° andar,Água Verde,Curitiba,PR,80250 -080,(41) 3074-0909,(41) 3074-5817,(41) 3074-0928,http://finaxis.com.br/,informacoesfundos@bancopetra.com.br,2017-03-31
18.950.957/0001-64,2017-06-30,1,2017-08-14,CHALLENGER FUNDO DE INVESTIMENTO IMOBILIARIO - FII,2014-09-05,INVESTIDOR QUALIFICADO,,102573.10892,Sim,Não,Não,,,,Indeterminado,,30/06,Não,Sim,Não,Não,Sim,BANCO FINAXIS S.A.,18950957000164.0,Rua Pasteur,463,11° andar,Água Verde,Curitiba,PR,80250 -080,(41) 3074-0909,(41) 3074-5817,(41) 3074-0928,http://finaxis.com.br/,informacoesfundos@bancopetra.com.br,2017-06-30
